Name,Score,Genres,Type,Episodes,Aired,Premiered,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch
Cheating Craft,5.44,"Action, Comedy, School",TV,12,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,Blade,Novel,12 min. per ep.,PG-13 - Teens 13 or older,9821.0,2142,54124,42,4821,22500,2480,9570,14753
Soul Buster,5.81,"Action, Samurai",TV,12,"Oct 4, 2016 to Dec 11, 2016",Fall 2016,Studio Pierrot,Manga,13 min. per ep.,PG-13 - Teens 13 or older,8786.0,3705,19449,15,1840,7489,714,2804,6602
Marginal#4: Kiss kara Tsukuru Big Bang,6.7,"Comedy, Music, School",TV,12,"Jan 12, 2017 to Mar 30, 2017",Winter 2017,J.C.Staff,Music,23 min. per ep.,PG-13 - Teens 13 or older,4903.0,4316,13677,89,1222,5277,618,1413,5147
Mahou Shoujo Nante Mou Ii Desukara. Second Season,6.08,"Comedy, Magic",TV,12,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,Pine Jam,Web manga,4 min. per ep.,PG-13 - Teens 13 or older,7907.0,4759,10821,4,521,7272,273,426,2329
ID-0,6.59,"Sci-Fi, Space, Mecha",TV,12,"Apr 9, 2017 to Jun 25, 2017",Spring 2017,SANZIGEN,Original,24 min. per ep.,PG-13 - Teens 13 or older,5446.0,3894,17454,22,1237,9014,631,1601,4971
Sengoku Choujuu Giga: Kou,5.89,"Historical, Demons, Supernatural, Samurai",TV,13,"Oct 9, 2016 to Jan 8, 2017",Fall 2016,ILCA,Original,3 min. per ep.,PG-13 - Teens 13 or older,8558.0,6195,5574,5,484,2348,259,905,1578
Teekyuu 8,6.67,"Comedy, Sports, Shounen",TV,12,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,Millepensee,Manga,2 min. per ep.,PG-13 - Teens 13 or older,5037.0,4616,11705,12,409,8287,146,192,2671
Ao Oni The Animation,5.14,"Comedy, Horror",TV,13,"Oct 3, 2016 to Jan 9, 2017",Fall 2016,Studio Deen,Game,3 min. per ep.,R - 17+ (violence & profanity),10396.0,3944,16844,13,989,9910,371,2521,3053
Sin: Nanatsu no Taizai,5.69,"Ecchi, Fantasy",TV,12,"Apr 15, 2017 to Jul 29, 2017",Spring 2017,"Artland, TNK",Other,23 min. per ep.,R+ - Mild Nudity,9186.0,1285,111846,271,12223,40515,4744,16339,38025
Seiren,6.31,"Romance, School",TV,12,"Jan 6, 2017 to Mar 24, 2017",Winter 2017,"Studio Gokumi, AXsiZ",Original,24 min. per ep.,PG-13 - Teens 13 or older,6818.0,946,157855,337,14327,70517,5499,16585,50927
Kabuki-bu!,6.62,School,TV,12,"Apr 7, 2017 to Jun 23, 2017",Spring 2017,Studio Deen,Novel,24 min. per ep.,PG-13 - Teens 13 or older,5283.0,3935,16921,20,1200,5435,744,2488,7054
Nil Admirari no Tenbin,6.61,"Harem, Historical, Romance, Fantasy, Josei",TV,12,"Apr 8, 2018 to Jun 24, 2018",Spring 2018,Zero-G,Visual novel,23 min. per ep.,PG-13 - Teens 13 or older,5303.0,2985,29765,123,2962,9804,1024,3267,12708
Saredo Tsumibito wa Ryuu to Odoru,5.82,"Action, Drama, Fantasy, Sci-Fi",TV,12,"Apr 6, 2018 to Jun 22, 2018",Spring 2018,Seven Arcs Pictures,Light novel,23 min. per ep.,R - 17+ (violence & profanity),8763.0,2352,46490,44,5320,12529,1799,7199,19643
IDOLiSH7,7.78,Music,TV,17,"Jan 7, 2018 to May 19, 2018",Winter 2018,TROYCA,Game,24 min. per ep.,PG-13 - Teens 13 or older,865.0,2570,39513,905,4105,15896,1601,1993,15918
Hinako Note,6.76,"Comedy, Slice of Life",TV,12,"Apr 7, 2017 to Jun 23, 2017",Spring 2017,Passione,4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older,4617.0,1669,79732,174,7039,29747,3446,6430,33070
Yume Oukoku to Nemureru 100-nin no Ouji-sama,5.9,"Adventure, Harem, Fantasy",TV,12,"Jul 5, 2018 to Sep 20, 2018",Summer 2018,Project No.9,Game,23 min. per ep.,PG-13 - Teens 13 or older,8544.0,4216,14569,40,1469,4220,577,1913,6390
3-Nen D-Gumi Glass no Kamen,4.71,"Comedy, Parody, School",TV,13,"Oct 3, 2016 to Dec 26, 2016",Fall 2016,DLE,Manga,4 min. per ep.,PG - Children,10834.0,8893,1964,3,97,928,52,335,552
Onihei,7.31,"Historical, Seinen",TV,13,"Jan 10, 2017 to Apr 4, 2017",Winter 2017,Studio M2,Novel,23 min. per ep.,R - 17+ (violence & profanity),2278.0,2786,33930,86,3026,13746,1685,2906,12567
Bloodivores,5.51,"Action, Supernatural, Vampire",TV,12,"Oct 1, 2016 to Dec 17, 2016",Fall 2016,"Creators in Pack, Namu Animation",Web manga,24 min. per ep.,R - 17+ (violence & profanity),9667.0,1610,83433,93,7771,39266,3449,14385,18562
Demi-chan wa Kataritai,7.62,"Comedy, Vampire, Fantasy, School, Seinen",TV,12,"Jan 8, 2017 to Mar 26, 2017",Winter 2017,A-1 Pictures,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1211.0,435,318206,1315,17925,213378,6762,8270,71871
To Be Hero,7.0,Comedy,TV,12,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,Haoliners Animation League,Original,11 min. per ep.,PG-13 - Teens 13 or older,3655.0,2272,49586,132,3087,27826,1418,4107,13148
Isekai Shokudou,7.35,"Comedy, Fantasy, Mystery",TV,12,"Jul 4, 2017 to Sep 19, 2017",Summer 2017,SILVER LINK.,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,2107.0,980,150933,463,13234,81705,6177,11802,38015
Hagane Orchestra,5.58,"Game, Adventure, Comedy, Parody",TV,12,"Oct 10, 2016 to Dec 26, 2016",Fall 2016,Fanworks,Game,4 min. per ep.,PG-13 - Teens 13 or older,9477.0,6858,4340,1,281,1663,120,347,1929
Tsugumomo,7.07,"Action, Comedy, Ecchi, School, Seinen, Supernatural",TV,12,"Apr 2, 2017 to Jun 18, 2017",Spring 2017,Zero-G,Manga,24 min. per ep.,R+ - Mild Nudity,3339.0,1107,134124,367,11556,69341,4322,8416,40489
Idol Jihen,5.68,Music,TV,12,"Jan 8, 2017 to Mar 26, 2017",Winter 2017,"MAPPA, Studio VOLN",Original,23 min. per ep.,PG-13 - Teens 13 or older,9195.0,4543,12001,16,976,3859,551,2574,4041
Pokemon Sun & Moon,6.84,"Action, Game, Kids, Fantasy, School",TV,146,"Nov 17, 2016 to Nov 3, 2019",Fall 2016,OLM,Game,24 min. per ep.,PG - Children,4282.0,1862,67085,522,15066,23167,8470,10485,9897
Akiba's Trip The Animation,6.55,"Action, Comedy, Supernatural, Ecchi",TV,13,"Jan 4, 2017 to Mar 29, 2017",Winter 2017,Gonzo,Game,23 min. per ep.,PG-13 - Teens 13 or older,5605.0,1274,112912,274,9610,55391,5207,14015,28689
100% Pascal-sensei (TV),5.72,Comedy,TV,36,"Apr 15, 2017 to Dec 16, 2017",Spring 2017,OLM,Manga,12 min. per ep.,PG - Children,9080.0,8585,2220,5,238,673,149,628,532
Berserk 2nd Season,6.69,"Action, Adventure, Demons, Drama, Fantasy, Horror, Magic, Military, Romance, Supernatural",TV,12,"Apr 7, 2017 to Jun 23, 2017",Spring 2017,"Millepensee, GEMBA",Manga,24 min. per ep.,R - 17+ (violence & profanity),4956.0,1194,124485,410,6259,85329,1825,5124,25948
Uchouten Kazoku 2,8.13,"Comedy, Demons, Drama, Fantasy, Slice of Life",TV,12,"Apr 9, 2017 to Jun 25, 2017",Spring 2017,P.A. Works,Novel,23 min. per ep.,PG-13 - Teens 13 or older,380.0,2229,51229,244,3197,25917,1476,925,19714
Cardfight!! Vanguard G: Next,6.59,"Action, Game, Shounen",TV,52,"Oct 2, 2016 to Oct 1, 2017",Fall 2016,OLM,Card game,24 min. per ep.,PG-13 - Teens 13 or older,5435.0,5662,7044,14,744,3642,253,452,1953
Tales of Zestiria the Cross 2nd Season,7.35,"Action, Adventure, Magic, Fantasy",TV,13,"Jan 8, 2017 to Apr 29, 2017",Winter 2017,ufotable,Game,23 min. per ep.,PG-13 - Teens 13 or older,2108.0,1144,129670,221,9376,81511,4264,4239,30280
